,p,sep1,sep2,sep3,sep4,sep5,sep6,sep7,sep8,sep9,sep10,sep15,sep20,sep25,sep30,sed1,sed2,sed3,sed4,sed5,sed6,sed7,sed8,sed9,sed10,sed15,sed20,sed25,sed30,sep1_lws,sep2_lws,sep3_lws,sep4_lws,sep5_lws,sep6_lws,sep7_lws,sep8_lws,sep9_lws,sep10_lws,sep15_lws,sep20_lws,sep25_lws,sep30_lws,sed1_lws,sed2_lws,sed3_lws,sed4_lws,sed5_lws,sed6_lws,sed7_lws,sed8_lws,sed9_lws,sed10_lws,sed15_lws,sed20_lws,sed25_lws,sed30_lws
283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5697451964237628,0.5300972503361993,0.5211965536475214,0.5157439813344982,0.51368957345705,0.5123592427396613,0.509078395540141,0.5098678338207228,0.5083771922022694,0.5071422333683283,0.49814029625329337,0.49758609073680576,0.49178440790084993,0.49132826075841496,0.5697451964237628,0.5293409785690305,0.52132370950926,0.5157309617041316,0.513235853661111,0.5124797397889505,0.5096277772168712,0.5099181602962797,0.509075249887249,0.507123152275641,0.4990428733731276,0.4981949079584081,0.4916463588975779,0.49159257495570596
258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5697451964237628,0.5300972503361993,0.5211965536475214,0.5157439813344982,0.51368957345705,0.5123592427396613,0.509078395540141,0.5098678338207228,0.5083771922022694,0.5071422333683283,0.49814029625329337,0.49758609073680576,0.49178440790084993,0.49132826075841496,0.5697451964237628,0.5293409785690305,0.52132370950926,0.5157309617041316,0.513235853661111,0.5124797397889505,0.5096277772168712,0.5099181602962797,0.509075249887249,0.507123152275641,0.4990428733731276,0.4981949079584081,0.4916463588975779,0.49159257495570596
272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5697451964237628,0.5300972503361993,0.5211965536475214,0.5157439813344982,0.51368957345705,0.5123592427396613,0.509078395540141,0.5098678338207228,0.5083771922022694,0.5071422333683283,0.49814029625329337,0.49758609073680576,0.49178440790084993,0.49132826075841496,0.5697451964237628,0.5293409785690305,0.52132370950926,0.5157309617041316,0.513235853661111,0.5124797397889505,0.5096277772168712,0.5099181602962797,0.509075249887249,0.507123152275641,0.4990428733731276,0.4981949079584081,0.4916463588975779,0.49159257495570596
275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5697451964237628,0.5300972503361993,0.5211965536475214,0.5157439813344982,0.51368957345705,0.5123592427396613,0.509078395540141,0.5098678338207228,0.5083771922022694,0.5071422333683283,0.49814029625329337,0.49758609073680576,0.49178440790084993,0.49132826075841496,0.5697451964237628,0.5293409785690305,0.52132370950926,0.5157309617041316,0.513235853661111,0.5124797397889505,0.5096277772168712,0.5099181602962797,0.509075249887249,0.507123152275641,0.4990428733731276,0.4981949079584081,0.4916463588975779,0.49159257495570596
259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5697451964237628,0.5300972503361993,0.5211965536475214,0.5157439813344982,0.51368957345705,0.5123592427396613,0.509078395540141,0.5098678338207228,0.5083771922022694,0.5071422333683283,0.49814029625329337,0.49758609073680576,0.49178440790084993,0.49132826075841496,0.5697451964237628,0.5293409785690305,0.52132370950926,0.5157309617041316,0.513235853661111,0.5124797397889505,0.5096277772168712,0.5099181602962797,0.509075249887249,0.507123152275641,0.4990428733731276,0.4981949079584081,0.4916463588975779,0.49159257495570596
269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5697451964237628,0.5300972503361993,0.5211965536475214,0.5157439813344982,0.51368957345705,0.5123592427396613,0.509078395540141,0.5098678338207228,0.5083771922022694,0.5071422333683283,0.49814029625329337,0.49758609073680576,0.49178440790084993,0.49132826075841496,0.5697451964237628,0.5293409785690305,0.52132370950926,0.5157309617041316,0.513235853661111,0.5124797397889505,0.5096277772168712,0.5099181602962797,0.509075249887249,0.507123152275641,0.4990428733731276,0.4981949079584081,0.4916463588975779,0.49159257495570596
263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5697451964237628,0.5300972503361993,0.5211965536475214,0.5157439813344982,0.51368957345705,0.5123592427396613,0.509078395540141,0.5098678338207228,0.5083771922022694,0.5071422333683283,0.49814029625329337,0.49758609073680576,0.49178440790084993,0.49132826075841496,0.5697451964237628,0.5293409785690305,0.52132370950926,0.5157309617041316,0.513235853661111,0.5124797397889505,0.5096277772168712,0.5099181602962797,0.509075249887249,0.507123152275641,0.4990428733731276,0.4981949079584081,0.4916463588975779,0.49159257495570596
278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5697451964237628,0.5300972503361993,0.5211965536475214,0.5157439813344982,0.51368957345705,0.5123592427396613,0.509078395540141,0.5098678338207228,0.5083771922022694,0.5071422333683283,0.49814029625329337,0.49758609073680576,0.49178440790084993,0.49132826075841496,0.5697451964237628,0.5293409785690305,0.52132370950926,0.5157309617041316,0.513235853661111,0.5124797397889505,0.5096277772168712,0.5099181602962797,0.509075249887249,0.507123152275641,0.4990428733731276,0.4981949079584081,0.4916463588975779,0.49159257495570596
277,1.000010000100001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5715107651468011,0.5320224565511364,0.523098509863685,0.5175672361127702,0.5154538877974577,0.5140806312922683,0.5107665267079098,0.5114461087655364,0.5098914919429727,0.5086306961559767,0.4995719216456325,0.4988809838152202,0.49303739221280585,0.4925213991167057,0.5715107651468011,0.531280751721009,0.5232193388869163,0.517547489620625,0.5149972075349344,0.5141997813053989,0.5112928463170799,0.5114821828027493,0.5105901118458354,0.5085920581294006,0.5004293979263192,0.4994841441461584,0.4928992621531489,0.49278740415855865
276,1.000010000100001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5715107651468011,0.5320224565511364,0.523098509863685,0.5175672361127702,0.5154538877974577,0.5140806312922683,0.5107665267079098,0.5114461087655364,0.5098914919429727,0.5086306961559767,0.4995719216456325,0.4988809838152202,0.49303739221280585,0.4925213991167057,0.5715107651468011,0.531280751721009,0.5232193388869163,0.517547489620625,0.5149972075349344,0.5141997813053989,0.5112928463170799,0.5114821828027493,0.5105901118458354,0.5085920581294006,0.5004293979263192,0.4994841441461584,0.4928992621531489,0.49278740415855865
