,p,sep1,sed1,sep1_lws,sed1_lws
0,0.0005,0.5,0.5,0.5070521319239066,0.5070521319239066
0,0.0005,0.28,0.28,0.5070521319239066,0.5070521319239066
0,0.0005,0.46,0.46,0.5070521319239066,0.5070521319239066
0,0.0005,0.36,0.36,0.5070521319239066,0.5070521319239066
0,0.0005,0.44,0.44,0.5070521319239066,0.5070521319239066
0,0.0005,0.52,0.52,0.5070521319239066,0.5070521319239066
0,0.0005,0.52,0.52,0.5070521319239066,0.5070521319239066
0,0.0005,0.34,0.34,0.5070521319239066,0.5070521319239066
1,0.00056,0.5,0.5,0.5065168204003446,0.5065168204003446
1,0.00056,0.6428571428571429,0.6428571428571429,0.5065168204003446,0.5065168204003446
1,0.00056,0.625,0.625,0.5065168204003446,0.5065168204003446
1,0.00056,0.6607142857142857,0.6607142857142857,0.5065168204003446,0.5065168204003446
1,0.00056,0.5178571428571429,0.5178571428571429,0.5065168204003446,0.5065168204003446
1,0.00056,0.5178571428571429,0.5178571428571429,0.5065168204003446,0.5065168204003446
1,0.00056,0.5357142857142857,0.5357142857142857,0.5065168204003446,0.5065168204003446
1,0.00056,0.5714285714285714,0.5714285714285714,0.5065168204003446,0.5065168204003446
2,0.0005800290014500725,0.6206896551724138,0.6206896551724138,0.5063386670884519,0.5063386670884519
2,0.0005900236009440378,0.6610169491525424,0.6610169491525424,0.5062498690506141,0.5062498690506141
2,0.0006100122002440049,0.639344262295082,0.639344262295082,0.5060724806372218,0.5060724806372218
2,0.0006100122002440049,0.6229508196721312,0.6229508196721312,0.5060724806372218,0.5060724806372218
2,0.0006100122002440049,0.6557377049180327,0.6557377049180327,0.5060724806372218,0.5060724806372218
2,0.0006100122002440049,0.7704918032786885,0.7704918032786885,0.5060724806372218,0.5060724806372218
2,0.0006100122002440049,0.6229508196721312,0.6229508196721312,0.5060724806372218,0.5060724806372218
3,0.0006100488039043123,0.6557377049180327,0.6557377049180327,0.5060721560458156,0.5060721560458156
3,0.0006100549049414448,0.7049180327868853,0.7049180327868853,0.5060721019435501,0.5060721019435501
2,0.0006200062000620006,0.5967741935483871,0.5967741935483871,0.505983890014129,0.505983890014129
3,0.0006200496039683174,0.6774193548387096,0.6774193548387096,0.5059835054118321,0.5059835054118321
3,0.0006300441030872161,0.6984126984126984,0.6984126984126984,0.5058949777776832,0.5058949777776832
4,0.000630088212349729,0.7301587301587301,0.7301587301587301,0.5058945872224923,0.5058945872224923
3,0.0006400384023041382,0.734375,0.734375,0.5058065189139218,0.5058065189139218
3,0.0006400384023041382,0.671875,0.671875,0.5058065189139218,0.5058065189139218
3,0.0006500325016250812,0.7230769230769231,0.7230769230769231,0.5057181286919932,0.5057181286919932
3,0.0006600264010560422,0.7272727272727273,0.7272727272727273,0.5056298069819685,0.5056298069819685
5,0.0006601254238305278,0.6363636363636364,0.6363636363636364,0.5056289321955274,0.5056289321955274
4,0.0006700603054274885,0.7014925373134329,0.7014925373134329,0.5055411987422253,0.5055411987422253
4,0.0006700670067006701,0.7313432835820896,0.7313432835820896,0.5055411395864734,0.5055411395864734
4,0.0006700737081078919,0.7761194029850746,0.7761194029850746,0.505541080429567,0.505541080429567
4,0.0006800680068006801,0.7647058823529411,0.7647058823529411,0.505452888656159,0.505452888656159
4,0.000690062105589503,0.7246376811594203,0.7246376811594203,0.5053647650066568,0.5053647650066568
4,0.000690062105589503,0.7101449275362319,0.7101449275362319,0.5053647650066568,0.5053647650066568
5,0.0007000980137219211,0.6857142857142857,0.6857142857142857,0.5052763393440782,0.5052763393440782
6,0.0007001610370385189,0.6571428571428571,0.6571428571428571,0.5052757842609069,0.5052757842609069
5,0.0007100994139179485,0.704225352112676,0.704225352112676,0.505188284033528,0.505188284033528
5,0.0007101065159773966,0.7183098591549296,0.7183098591549296,0.5051882215283655,0.5051882215283655
4,0.0007200432025921556,0.7222222222222222,0.7222222222222222,0.5051008014385968,0.5051008014385968
5,0.000720100814113976,0.6666666666666666,0.6666666666666666,0.5051002947789774,0.5051002947789774
6,0.0007301533321997619,0.6027397260273972,0.6027397260273972,0.5050119222306896,0.5050119222306896
5,0.0007500825090759984,0.6666666666666666,0.6666666666666666,0.5048369194617794,0.5048369194617794
5,0.0007500825090759984,0.72,0.72,0.5048369194617794,0.5048369194617794
6,0.0007501275216786853,0.5733333333333334,0.5733333333333334,0.5048365244903744,0.5048365244903744
7,0.0007501950507131854,0.6133333333333333,0.6133333333333333,0.5048359319468654,0.5048359319468654
6,0.0007801326225458328,0.6025641025641025,0.6025641025641025,0.504573533763602,0.504573533763602
6,0.0007801326225458328,0.6153846153846154,0.6153846153846154,0.504573533763602,0.504573533763602
7,0.0007801950487621906,0.6282051282051282,0.6282051282051282,0.5045729872179776,0.5045729872179776
5,0.0007900632050564045,0.6582278481012658,0.6582278481012658,0.5044866227125624,0.5044866227125624
