,1,p
0,0.25,0.0001
1,0.4,0.00010046181046515888
2,0.35,0.00010092575361937517
3,0.45,0.00010139183931162991
4,0.55,0.00010186007743638809
5,0.45,0.00010233047793380838
6,0.5,0.00010280305078995381
7,0.3,0.00010327780603700442
8,0.6,0.0001037547537534699
9,0.55,0.00010423390406440324
10,0.35,0.00010471526714161633
11,0.19047619047619047,0.0001051988532038955
12,0.6666666666666666,0.00010568467251721822
13,0.2857142857142857,0.00010617273539497163
14,0.3333333333333333,0.00010666305219817106
15,0.47619047619047616,0.00010715563333568019
16,0.38095238095238093,0.00010765048926443165
17,0.42857142857142855,0.00010814763048964952
18,0.42857142857142855,0.0001086470675650722
19,0.42857142857142855,0.00010914881109317595
20,0.6666666666666666,0.00010965287172540073
21,0.5909090909090909,0.00011015926016237598
22,0.5909090909090909,0.00011066798715414744
23,0.4090909090909091,0.00011117906350040597
24,0.5454545454545454,0.0001116925000507166
25,0.45454545454545453,0.0001122083077047484
26,0.6363636363636364,0.0001127264974125066
27,0.5454545454545454,0.00011324708017456474
28,0.5,0.00011377006704229774
29,0.4090909090909091,0.00011429546911811735
30,0.5454545454545454,0.00011482329755570736
31,0.34782608695652173,0.00011535356356026015
32,0.5217391304347826,0.00011588627838871512
33,0.34782608695652173,0.00011642145334999749
34,0.43478260869565216,0.00011695909980525784
35,0.5217391304347826,0.00011749922916811414
36,0.4782608695652174,0.00011804185290489363
37,0.34782608695652173,0.00011858698253487588
38,0.5652173913043478,0.00011913462963053807
39,0.5652173913043478,0.00011968480581780017
40,0.4583333333333333,0.00012023752277627199
41,0.4166666666666667,0.0001207927922395006
42,0.375,0.00012135062599522024
43,0.4583333333333333,0.0001219110358856021
44,0.5,0.00012247403380750543
45,0.5416666666666666,0.0001230396317127307
46,0.625,0.00012360784160827317
47,0.7083333333333334,0.0001241786755565772
48,0.5416666666666666,0.00012475214567579315
49,0.6,0.00012532826414003435
50,0.44,0.000125907043179635
51,0.32,0.00012648849508141064
52,0.56,0.00012707263218891872
53,0.64,0.00012765946690271998
54,0.56,0.0001282490116806428
55,0.52,0.00012884127903804696
56,0.6,0.00012943628154808923
57,0.5769230769230769,0.0001300340318419908
58,0.5769230769230769,0.0001306345426093053
59,0.5769230769230769,0.0001312378265981875
60,0.5769230769230769,0.000131843896615665
61,0.46153846153846156,0.0001324527655279094
62,0.34615384615384615,0.00013306444626050979
63,0.5384615384615384,0.0001336789517987465
64,0.34615384615384615,0.00013429629518786783
65,0.46153846153846156,0.00013491648953336622
66,0.5555555555555556,0.00013553954800125628
67,0.25925925925925924,0.0001361654838183551
68,0.5555555555555556,0.00013679431027256264
69,0.4074074074074074,0.00013742604071314326
70,0.48148148148148145,0.00013806068855101006
71,0.37037037037037035,0.00013869826725900917
72,0.5925925925925926,0.00013933879037220532
73,0.5185185185185185,0.00013998227148816995
74,0.42857142857142855,0.00014062872426726957
75,0.42857142857142855,0.00014127816243295527
76,0.4642857142857143,0.00014193059977205482
77,0.39285714285714285,0.00014258605013506507
78,0.4642857142857143,0.00014324452743644548
79,0.5357142857142857,0.00014390604565491438
80,0.5714285714285714,0.00014457061883374524
81,0.5517241379310345,0.00014523826108106444
82,0.41379310344827586,0.00014590898657015157
83,0.4827586206896552,0.00014658280953973993
84,0.3103448275862069,0.00014725974429431838
85,0.3448275862068966,0.00014793980520443574
86,0.4827586206896552,0.0001486230067070055
87,0.3448275862068966,0.00014930936330561238
88,0.3448275862068966,0.0001499988895708198
89,0.5,0.00015069160014047995
90,0.43333333333333335,0.00015138750972004423
91,0.5333333333333333,0.0001520866330828748
92,0.4666666666666667,0.0001527889850705593
93,0.3333333333333333,0.00015349458059322536
94,0.5666666666666667,0.0001542034346298566
95,0.4666666666666667,0.00015491556222861172
96,0.4838709677419355,0.0001556309785071433
97,0.5161290322580645,0.00015634969865291847
98,0.41935483870967744,0.00015707173792354202
99,0.45161290322580644,0.00015779711164708003
100,0.6129032258064516,0.00015852583522238468
101,0.3870967741935484,0.00015925792411942218
102,0.2903225806451613,0.00015999339387960063
103,0.375,0.0001607322601160995
104,0.5,0.00016147453851420203
105,0.5625,0.00016222024483162763
106,0.625,0.00016296939489886662
107,0.375,0.0001637220046195157
108,0.46875,0.0001644780899706165
109,0.48484848484848486,0.00016523766700299444
110,0.42424242424242425,0.00016600075184159863
111,0.5454545454545454,0.00016676736068584557
112,0.6666666666666666,0.00016753750980996222
113,0.48484848484848486,0.00016831121556333122
114,0.5757575757575758,0.00016908849437083883
115,0.36363636363636365,0.0001698693627332231
116,0.5294117647058824,0.00017065383722742383
117,0.5882352941176471,0.00017144193450693528
118,0.4411764705882353,0.0001722336713021593
119,0.4117647058823529,0.00017302906442076004
120,0.4411764705882353,0.0001738281307480216
121,0.38235294117647056,0.0001746308872472062
122,0.37142857142857144,0.00017543735095991363
123,0.34285714285714286,0.000176247539006444
124,0.45714285714285713,0.00017706146858616093
125,0.4,0.00017787915697785583
126,0.4857142857142857,0.00017870062154011596
127,0.45714285714285713,0.00017952587971169237
